title	year	genre	instrumentation	duration	commission	url
Three Korean Folk Melodies for PIano	2026	Solo	Piano	7'		
Scattered Air VI for Clarinet and Piano	2026	Chamber	Clarinet, Piano	8'		
Pasqueflower on the Back Hill for Violin Solo	2026	Solo	Violin	8'		
Foolish Confession, Fragrance of Faith (미련한 고백, 믿음의 향기)	2026	Vocal	Soprano, Piano	6'		
Scattered Air V (the Breath of Life) for Clarinet, Violin, and Piano	2025	Chamber	Clarinet, Violin Piano		Lin Trio	https://youtu.be/SNXu2Zgx-6A
이야홍, 섬 메아리 for SATB, Oboe, and Piano	2024	Choir	Choir, Oboe, Piano		Molt New Voice Ensemble	https://youtu.be/Gch6EtVLbaA
Scattered Air III for Violoncello and Piano	2023	Chamber	Violoncell0, Piano		Busan New Music Festival	https://youtu.be/WQl9OR-Hp4c
Scattered Air II for Viola and Violoncello	2023	Chamber	Viola, Violoncello			
Common Songs for Violoncello Solo	2023	Solo	Violoncello			
Namul Norae (나물노래) for Violin Solo	2023	Solo	Violin		The Sejong Cultural Society	
Airs II for Flute, Piano, Strings	2022	Orchestra	Flute, Piano, Strings			https://youtu.be/Nz7_uIKS9qg
Light Off for Piano and Strings	2022	Orchestra	Piano, Strings			
Tug of War for Strings	2022	Orchestra	Strings			
Scattered Air I for Viola and Piano	2022	Chamber	Viola, Piano		Yeon Sook Han	https://youtu.be/p3aLNAbfdY8
The Wells of Silence for 2 Violons, Viola, Violoncello, and Piano	2022	Chamber	2 Violons, Viola, Violoncello, Piano		Japan Federation of Copmosers	https://youtu.be/KyxNFQlH4-E
Two Minds Within (두 마음)	2022	Vocal	Tenor, Piano			
6 Moment musicaux for Woodwind Quintet	2021	Chamber	Flute, Oboe, Clarinet, Horn, Bassoon	6'	Malaysian Composers Collective	https://youtu.be/RhHaIkboiSQ?si=tx92DUt7VTJ96nGP
Airs I for Flute and Piano	2021	Chamber	Flute, Piano			https://youtu.be/MQIlMTAwzeE
Concerto Grosso for Piri, Janggu, and Orchestra	2020.11.28	Orchestra	Piri, Janggu, Orchestra		Chae Dong Sun Music Festival	https://youtu.be/xgAd-hoGUSY
Beet and Hoven for String Orchestra	2020.5.17	Orchestra	String Orchestra		Seoul Tutti Ensemble	https://youtu.be/MbaYDGEz0XM
